transaction_id,amount,contract_duration,department,bidding_process,num_bidders,winning_bid_ratio,supplier,previous_contracts,officer_id,officer_tenure,is_fraud
TX-00078,39081.66,12,health,open,3,0.5,Vendor-145,4,OFF-8303,2.6,0.0
TX-00079,7405.25,12,defense,open,1,0.6445787225257655,Vendor-178,3,OFF-9051,3.3,1.0
TX-00080,30462.83,6,health,open,2,0.65,Vendor-122,6,OFF-2102,10.1,1.0
TX-00081,48324.31,6,defense,open,5,0.5,Vendor-180,1,OFF-3612,0.6,0.0
TX-00082,118458.18,24,health,open,1,0.5,Vendor-120,5,OFF-5075,2.1,0.0
TX-00083,23989.8,24,education,open,2,0.5,Vendor-51,5,OFF-8492,1.5,0.0
TX-00084,19019.22,6,health,restricted,3,0.5,Vendor-47,3,OFF-7164,2.9,0.0
TX-00085,24308.82,24,education,open,3,0.9670479161803842,Vendor-20,3,OFF-9259,0.5,0.0
TX-00086,75532.76,24,health,restricted,1,0.5,Vendor-1,4,OFF-4504,0.7,0.0
TX-00087,47240.22,6,health,open,5,0.5,Vendor-48,2,OFF-3824,6.3,0.0
TX-00088,23770.29,12,health,open,3,0.910645516688371,Vendor-33,0,OFF-9568,1.6,0.0
TX-00089,54754.45,12,health,open,4,0.9851573377084581,Vendor-186,0,OFF-4082,0.2,0.0
TX-00090,39248.25,24,health,restricted,7,0.6092561840530752,Vendor-175,2,OFF-7617,5.2,0.0
TX-00091,78819.52,24,education,open,2,0.5,Vendor-175,1,OFF-3214,1.3,0.0
TX-00092,20709.7,6,health,open,3,0.657907649505451,Vendor-157,2,OFF-7212,4.2,0.0
TX-00093,27941.55,12,health,restricted,2,0.5,Vendor-41,2,OFF-4239,3.5,0.0
TX-00094,26537.48,24,defense,open,2,0.5,Vendor-165,2,OFF-8286,2.4,0.0
TX-00095,11261.98,24,education,open,6,0.5,Vendor-46,2,OFF-2387,8.6,0.0
TX-00096,46022.98,6,defense,open,8,0.5,Vendor-77,2,OFF-8555,0.9,0.0
TX-00097,44749.89,12,defense,open,1,0.5,Vendor-159,1,OFF-7496,2.0,0.0
TX-00098,36464.37,24,health,open,3,0.5,Vendor-160,6,OFF-5603,2.5,0.0
TX-00099,30101.5,12,infrastructure,direct,3,0.5,Vendor-154,3,OFF-6018,10.7,0.0
TX-00100,11704.2,12,health,open,2,0.5,Vendor-103,4,OFF-7036,9.3,0.0
TX-00101,25938.5,24,defense,open,5,0.5025999125097713,Vendor-39,2,OFF-6392,0.8,0.0
TX-00102,27607.1,6,education,open,3,0.5,Vendor-69,4,OFF-4537,0.3,0.0
TX-00103,19114.04,24,education,open,3,0.5,Vendor-56,4,OFF-2277,9.2,0.0
TX-00104,31919.47,12,education,direct,7,0.529436234844371,Vendor-198,3,OFF-7025,0.5,0.0
TX-00105,50173.42,6,defense,direct,4,0.9583043765402111,Vendor-42,4,OFF-3699,1.2,0.0
TX-00106,164217.77,6,education,restricted,5,0.5,Vendor-37,0,OFF-3530,0.1,0.0
TX-00107,41758.66,6,health,open,4,0.5,Vendor-72,2,OFF-7616,5.0,0.0
TX-00108,44624.59,6,health,restricted,2,0.5,Vendor-64,1,OFF-7055,1.8,0.0
TX-00109,34215.82,12,education,open,4,0.5,Vendor-12,7,OFF-4013,1.0,0.0
TX-00110,7824.25,6,health,open,5,0.5,Vendor-122,2,OFF-2588,1.4,0.0
TX-00111,35553.32,36,education,open,3,0.5,Vendor-177,0,OFF-2267,3.9,0.0
TX-00112,38108.18,12,education,open,7,0.5,Vendor-145,2,OFF-9279,5.0,0.0
TX-00113,260561.37,12,health,direct,6,0.9330333163414621,Vendor-10,1,OFF-5812,3.2,0.0
TX-00114,31135.73,12,education,direct,7,0.5,Vendor-116,1,OFF-5188,1.6,0.0
TX-00115,46223.24,12,education,direct,2,0.5,Vendor-129,1,OFF-5760,1.8,0.0
TX-00116,35320.92,12,defense,open,5,0.5,Vendor-117,1,OFF-6122,0.0,0.0
TX-00117,14257.77,6,health,open,2,0.5,Vendor-46,1,OFF-8670,0.3,0.0
TX-00118,90604.42,24,defense,direct,2,0.5,Vendor-65,3,OFF-5321,10.9,0.0
TX-00119,66273.57,12,infrastructure,open,7,0.6842802531498936,Vendor-141,2,OFF-3090,2.4,0.0
TX-00120,68379.31,6,defense,open,4,0.5,Vendor-53,2,OFF-3349,0.1,0.0
TX-00121,17544.4,12,defense,open,9,0.5,Vendor-5,2,OFF-9079,1.3,0.0
TX-00122,111550.81,12,education,open,6,0.6661366743047892,Vendor-116,3,OFF-9335,3.6,0.0
TX-00123,11831.48,6,health,restricted,4,0.974264241698579,Vendor-186,1,OFF-2478,1.5,0.0
TX-00124,58074.72,24,education,open,9,0.5,Vendor-105,2,OFF-1715,0.2,0.0
TX-00125,209476.01,12,education,open,6,0.5,Vendor-151,2,OFF-8844,6.2,0.0
TX-00126,16441.62,12,defense,open,1,0.5301970541243977,Vendor-74,5,OFF-6392,4.2,1.0
TX-00127,23085.54,12,education,open,2,0.5,Vendor-83,4,OFF-3155,2.6,0.0
TX-00128,39329.14,36,education,open,4,0.5,Vendor-171,2,OFF-6736,4.9,0.0
TX-00129,24275.42,6,education,open,4,0.5055822458152542,Vendor-77,4,OFF-8482,1.2,0.0
TX-00130,10503.56,12,health,direct,3,0.5,Vendor-136,2,OFF-2621,3.3,0.0
TX-00131,38363.06,12,health,restricted,2,0.5,Vendor-125,2,OFF-6608,0.2,0.0
TX-00132,15524.23,24,education,open,3,0.5,Vendor-11,2,OFF-7817,3.7,0.0
TX-00133,53043.84,6,health,restricted,4,0.5,Vendor-134,0,OFF-3942,0.0,0.0
TX-00134,17404.09,6,health,restricted,4,0.9946178047753172,Vendor-33,2,OFF-9195,3.3,0.0
TX-00135,125485.75,24,education,open,4,0.5,Vendor-130,3,OFF-3864,2.5,0.0
TX-00136,19407.16,12,education,open,7,0.5,Vendor-58,2,OFF-1828,0.1,0.0
TX-00137,28067.03,12,education,restricted,5,0.5,Vendor-181,0,OFF-7216,1.4,0.0
TX-00138,69620.46,12,defense,open,3,0.5,Vendor-96,3,OFF-4853,0.9,0.0
TX-00139,13565.82,24,health,open,4,0.5,Vendor-119,4,OFF-4109,1.9,0.0
TX-00140,43563.2,6,health,restricted,6,0.5,Vendor-36,0,OFF-6510,14.6,0.0
TX-00141,103333.22,6,education,open,3,0.5,Vendor-42,2,OFF-5926,0.3,0.0
TX-00142,10036.8,36,defense,restricted,4,0.5,Vendor-95,3,OFF-6192,3.8,0.0
TX-00143,42095.96,12,education,restricted,4,0.5,Vendor-197,1,OFF-9063,2.1,0.0
TX-00144,44707.93,12,health,restricted,5,0.5,Vendor-94,4,OFF-6788,3.6,0.0
TX-00145,67877.39,24,education,open,3,0.5,Vendor-164,3,OFF-5891,1.8,0.0
TX-00146,13499.93,12,defense,direct,3,0.5,Vendor-11,1,OFF-1573,2.2,0.0
TX-00147,12627.53,6,health,open,3,0.65,Vendor-90,4,OFF-3375,0.0,1.0
TX-00148,55135.73,6,health,restricted,8,0.9389578979304201,Vendor-85,1,OFF-5715,0.1,0.0
TX-00149,46054.82,12,education,open,5,0.5,Vendor-99,4,OFF-3552,1.5,0.0
TX-00150,44373.35,24,health,open,4,0.5102427688840527,Vendor-150,2,OFF-4381,10.7,0.0
TX-00151,47913.79,6,health,open,6,0.6859675541951591,Vendor-129,1,OFF-6845,1.5,0.0
TX-00152,21077.9,6,health,open,6,0.5,Vendor-160,1,OFF-3018,1.9,0.0
TX-00153,43730.58,24,health,open,5,0.5,Vendor-171,4,OFF-2893,2.0,0.0
TX-00154,45910.91,6,health,open,2,0.5,Vendor-27,3,OFF-2858,4.5,0.0
TX-00155,20506.94,12,health,open,5,0.5,Vendor-100,4,OFF-7850,1.1,0.0
TX-00156,161558.02,6,health,open,4,0.5080347970484119,Vendor-19,0,OFF-4271,8.1,0.0
TX-00157,53054.04,12,defense,open,3,0.6957483679681431,Vendor-18,5,OFF-9882,0.7,0.0
TX-00158,14002.02,12,health,open,8,0.5,Vendor-150,1,OFF-8292,0.0,0.0
TX-00159,61404.78,6,education,open,9,0.65,Vendor-103,3,OFF-4147,4.3,1.0
TX-00160,16651.48,12,defense,restricted,3,0.5,Vendor-198,2,OFF-3244,8.8,0.0
TX-00161,68163.72,12,health,open,2,0.5,Vendor-31,1,OFF-3834,3.6,0.0
TX-00162,91754.93,12,health,open,8,0.5,Vendor-190,3,OFF-4761,0.5,0.0
TX-00163,18834.66,12,education,open,5,0.5,Vendor-129,1,OFF-9000,0.4,0.0
TX-00164,78487.99,12,health,open,4,0.5,Vendor-4,2,OFF-4544,0.3,0.0
TX-00165,50525.06,12,health,open,5,0.5,Vendor-131,2,OFF-3912,5.8,0.0
TX-00166,70097.9,12,defense,open,4,0.5520410176998463,Vendor-198,1,OFF-5883,1.4,0.0
TX-00167,165617.2,12,health,open,6,0.5,Vendor-21,0,OFF-3735,8.4,0.0
TX-00168,29842.52,12,education,open,3,0.5,Vendor-120,2,OFF-8224,7.8,0.0
TX-00169,19870.89,12,defense,open,2,0.5,Vendor-92,6,OFF-7606,1.0,0.0
TX-00170,17825.56,6,health,open,3,0.5,Vendor-92,1,OFF-7522,0.3,0.0
TX-00171,18908.22,6,health,open,4,0.5,Vendor-118,1,OFF-5673,6.5,0.0
TX-00172,34143.2,6,education,open,6,0.5763056865740207,Vendor-158,0,OFF-8016,0.0,0.0
TX-00173,47711.21,36,infrastructure,restricted,5,0.5,Vendor-111,1,OFF-6237,0.2,0.0
TX-00174,45313.15,24,health,open,2,0.5,Vendor-119,0,OFF-1041,0.2,0.0
TX-00175,70385.78,12,health,restricted,1,0.9973756435315577,Vendor-10,2,OFF-2608,4.6,0.0
TX-00176,36695.21,6,health,direct,5,0.5,Vendor-42,1,OFF-1822,2.7,0.0
TX-00177,116172.02,6,health,direct,5,0.5,Vendor-89,2,OFF-5953,0.4,0.0
TX-00178,29386.03,24,health,open,4,0.930583385806996,Vendor-187,2,OFF-9109,0.2,0.0
TX-00179,320018.9,24,health,open,2,0.5,Vendor-62,3,OFF-1161,8.5,0.0
TX-00180,59906.12,6,education,open,2,0.5,Vendor-172,3,OFF-7315,1.6,0.0
TX-00181,18293.0,24,infrastructure,restricted,6,0.5,Vendor-98,1,OFF-8885,1.6,0.0
TX-00182,15417.92,12,defense,open,5,0.5,Vendor-20,3,OFF-3459,1.5,0.0
TX-00183,53422.0,12,defense,open,6,0.5258046700283788,Vendor-72,5,OFF-6571,0.5,0.0
TX-00184,30370.58,24,health,open,4,0.5,Vendor-67,1,OFF-1616,4.7,0.0
TX-00185,64292.64,12,health,open,5,0.5,Vendor-130,0,OFF-9124,3.9,0.0
TX-00186,53028.78,24,education,restricted,6,0.5,Vendor-83,4,OFF-9779,5.9,0.0
TX-00187,34260.11,6,education,open,4,0.5,Vendor-185,1,OFF-5885,8.7,0.0
TX-00188,18445.3,12,education,open,5,0.5,Vendor-55,1,OFF-1128,1.3,0.0
TX-00189,10808.87,12,health,open,1,0.5,Vendor-113,5,OFF-7024,2.7,0.0
TX-00190,25407.2,12,health,open,2,0.5,Vendor-110,1,OFF-8632,0.7,0.0
TX-00191,72050.25,12,health,open,2,0.5,Vendor-144,0,OFF-4948,0.2,0.0
TX-00192,43099.86,6,health,open,9,0.5,Vendor-30,5,OFF-5880,5.3,0.0
TX-00193,13405.35,12,health,restricted,3,0.5,Vendor-127,1,OFF-3382,0.1,0.0
TX-00194,41712.03,12,defense,restricted,4,0.5,Vendor-71,2,OFF-4238,2.1,0.0
TX-00195,49427.09,24,health,open,5,0.5,Vendor-188,3,OFF-8152,1.3,0.0
TX-00196,17906.41,12,defense,restricted,4,0.5,Vendor-53,1,OFF-1228,3.3,0.0
TX-00197,41067.82,12,defense,open,7,0.5,Vendor-159,3,OFF-5653,9.2,0.0
TX-00198,38046.6,6,education,open,2,0.5,Vendor-76,1,OFF-2044,3.5,0.0
TX-00199,14554.04,12,infrastructure,open,4,0.5,Vendor-31,3,OFF-9746,7.1,0.0
TX-00200,48350.41,6,health,open,4,0.5,Vendor-5,5,OFF-6048,6.3,0.0
TX-00201,56875.94,6,education,open,4,0.5,Vendor-180,0,OFF-5340,5.4,0.0
TX-00202,86373.91,6,defense,open,4,0.5,Vendor-76,1,OFF-3485,4.0,0.0
TX-00203,84376.28,6,health,open,4,0.5,Vendor-93,3,OFF-1793,0.4,0.0
TX-00204,12062.59,12,education,open,4,0.5,Vendor-36,2,OFF-6021,3.6,0.0
TX-00205,17149.77,36,health,open,4,0.5,Vendor-16,3,OFF-7103,4.5,0.0
TX-00206,54831.94,6,health,open,6,0.5,Vendor-132,4,OFF-6390,3.2,0.0
TX-00207,54777.17,24,defense,open,4,0.5,Vendor-108,3,OFF-4811,4.8,0.0
TX-00208,54832.49,6,education,open,3,0.5,Vendor-198,3,OFF-6312,1.1,0.0
TX-00209,791895.88,12,health,direct,2,0.5,Vendor-22,2,OFF-2808,3.4,0.0
TX-00210,57337.63,12,defense,restricted,4,0.9447555766953182,Vendor-136,1,OFF-9612,3.8,0.0
TX-00211,90079.92,36,health,open,3,0.5,Vendor-137,3,OFF-5272,11.5,0.0
TX-00212,77901.57,6,defense,open,3,0.580453828050198,Vendor-58,2,OFF-6626,0.7,0.0
TX-00213,61151.7,12,infrastructure,open,3,0.5,Vendor-124,1,OFF-3232,0.3,0.0
TX-00214,28219.95,6,defense,restricted,4,0.5,Vendor-72,1,OFF-6831,1.1,0.0
TX-00215,66647.67,12,education,open,1,0.5,Vendor-179,1,OFF-2496,4.1,0.0
TX-00216,19569.74,36,education,open,6,0.5,Vendor-42,3,OFF-4556,2.1,0.0
TX-00217,30047.81,24,education,restricted,2,0.9958468825588427,Vendor-118,2,OFF-4245,5.2,0.0
TX-00218,24629.72,24,health,open,5,0.5,Vendor-127,1,OFF-9313,0.1,0.0
TX-00219,38773.77,12,health,open,7,0.5,Vendor-155,3,OFF-3195,1.6,0.0
TX-00220,231359.22,24,health,restricted,2,0.5300257907052622,Vendor-34,2,OFF-6255,0.5,0.0
TX-00221,8153.38,12,education,restricted,2,0.5108399477694228,Vendor-164,0,OFF-7956,0.8,0.0
TX-00222,62881.55,6,education,open,2,0.9165463325415586,Vendor-114,3,OFF-8569,0.3,0.0
TX-00223,9994.87,24,education,restricted,6,0.5,Vendor-70,2,OFF-1919,1.8,0.0
TX-00224,24895.8,6,education,open,4,0.5,Vendor-46,3,OFF-3339,3.3,0.0
TX-00225,86782.52,6,education,open,4,0.5,Vendor-174,3,OFF-4013,0.5,0.0
TX-00226,38231.84,6,education,open,2,0.5,Vendor-22,1,OFF-5077,4.4,0.0
TX-00227,15333.64,12,health,open,2,0.5,Vendor-16,2,OFF-9655,0.8,0.0
TX-00228,20491.33,12,health,open,6,0.5,Vendor-195,2,OFF-4089,2.8,0.0
TX-00229,62547.29,6,health,open,3,0.65,Vendor-165,6,OFF-8189,3.5,1.0
TX-00230,20245.88,24,education,restricted,6,0.5,Vendor-57,0,OFF-1604,6.6,0.0
TX-00231,43181.48,24,health,open,6,0.5,Vendor-78,0,OFF-2223,1.7,0.0
TX-00232,37663.9,36,education,open,8,0.5,Vendor-131,1,OFF-7494,20.5,0.0
TX-00233,21562.69,12,health,open,7,0.9759941589588088,Vendor-37,2,OFF-4501,0.1,0.0
TX-00234,201824.8,24,health,open,4,0.5,Vendor-127,2,OFF-7513,1.3,0.0
TX-00235,60302.88,24,education,open,5,0.552803156801816,Vendor-54,3,OFF-8914,2.2,0.0
TX-00236,7185.97,6,health,open,3,0.5879067120297431,Vendor-122,1,OFF-7790,5.8,0.0
TX-00237,42157.31,12,education,open,3,0.5,Vendor-181,1,OFF-6471,1.1,0.0
TX-00238,21387.69,12,defense,open,5,0.5,Vendor-55,2,OFF-7921,0.6,0.0
TX-00239,71822.04,6,education,restricted,4,0.5,Vendor-138,3,OFF-4314,0.7,0.0
TX-00240,19263.81,6,education,restricted,3,0.5,Vendor-191,4,OFF-7219,5.4,0.0
TX-00241,33130.54,12,education,open,4,0.5,Vendor-132,1,OFF-8446,0.6,0.0
TX-00242,54392.95,6,health,open,5,0.5,Vendor-147,0,OFF-8832,1.0,0.0
TX-00243,72591.58,6,education,open,5,0.5,Vendor-102,1,OFF-3248,4.1,0.0
TX-00244,13901.65,12,health,open,4,0.9060610764780506,Vendor-11,3,OFF-2477,1.7,0.0
TX-00245,27789.1,24,health,open,3,0.5,Vendor-119,0,OFF-5385,0.9,0.0
TX-00246,24835.86,24,health,restricted,4,0.5,Vendor-20,5,OFF-8656,0.0,0.0
TX-00247,21532.89,12,education,open,2,0.5,Vendor-1,3,OFF-1406,0.5,0.0
TX-00248,149098.64,12,education,direct,5,0.6056467128127451,Vendor-115,1,OFF-2478,1.1,0.0
TX-00249,50210.8,12,defense,open,3,0.5,Vendor-69,0,OFF-7980,0.2,0.0
TX-00250,13243.91,6,health,open,4,0.5,Vendor-132,4,OFF-7075,2.0,0.0
TX-00251,75681.54,6,health,direct,4,0.5,Vendor-122,3,OFF-9501,4.4,0.0
TX-00252,198337.41,24,education,open,3,0.5,Vendor-84,3,OFF-2347,1.0,0.0
TX-00253,82948.25,12,education,restricted,5,0.5,Vendor-123,4,OFF-4767,2.7,0.0
TX-00254,10769.83,24,health,open,3,0.5,Vendor-192,2,OFF-8325,1.7,0.0
TX-00255,24651.99,24,health,restricted,2,0.5,Vendor-90,4,OFF-7677,2.2,0.0
TX-00256,100060.36,6,education,open,5,0.5,Vendor-107,3,OFF-2603,3.9,0.0
TX-00257,20616.86,12,health,open,3,0.9293095599453971,Vendor-144,2,OFF-7313,4.8,0.0
TX-00258,51795.34,12,education,open,6,0.9994704369718899,Vendor-144,5,OFF-7397,3.1,0.0
TX-00259,67488.15,12,education,open,6,0.5,Vendor-140,0,OFF-2858,1.6,0.0
TX-00260,17299.89,12,health,open,3,0.5,Vendor-19,0,OFF-9287,2.2,0.0
TX-00261,34626.68,36,health,direct,6,0.5,Vendor-3,2,OFF-3982,4.4,0.0
TX-00262,2716.19,24,defense,open,5,0.5,Vendor-123,3,OFF-7402,4.0,0.0
TX-00263,16002.33,36,health,open,2,0.5,Vendor-6,2,OFF-3820,0.9,0.0
TX-00264,29671.6,6,health,open,4,0.5,Vendor-67,3,OFF-9618,1.0,0.0
TX-00265,13383.44,6,education,restricted,5,0.5,Vendor-32,3,OFF-9854,0.3,0.0
TX-00266,134044.76,6,education,restricted,6,0.5,Vendor-96,2,OFF-3010,5.7,0.0
TX-00267,11566.72,6,education,open,4,0.5,Vendor-136,3,OFF-1699,3.4,0.0
TX-00268,25539.06,12,education,open,5,0.65,Vendor-141,2,OFF-4120,0.0,1.0
TX-00269,40319.58,12,infrastructure,restricted,4,0.65,Vendor-114,5,OFF-4625,4.1,1.0
TX-00270,115038.1,12,health,open,1,0.5305549069484774,Vendor-60,0,OFF-2660,9.4,1.0
TX-00271,11513.9,36,education,open,3,0.5,Vendor-25,3,OFF-5978,0.4,0.0
TX-00272,92090.86,36,education,open,3,0.5,Vendor-1,2,OFF-5458,0.4,0.0
TX-00273,36614.02,6,health,open,4,0.5,Vendor-190,2,OFF-7278,9.4,0.0
TX-00274,16560.79,24,health,open,3,0.9466482459664743,Vendor-25,2,OFF-8293,1.3,0.0
TX-00275,52558.53,12,education,open,9,0.5,Vendor-1,3,OFF-7700,1.9,0.0
TX-00276,42584.59,12,health,open,3,0.9386142112101784,Vendor-38,0,OFF-4256,1.1,0.0
TX-00277,22467.53,24,defense,open,4,0.5,Vendor-36,2,OFF-4760,1.1,0.0
TX-00278,38401.11,6,education,open,3,0.5,Vendor-0,2,OFF-4471,10.7,0.0
TX-00279,26682.12,24,education,open,7,0.5,Vendor-107,5,OFF-4835,2.7,0.0
TX-00280,39767.84,12,defense,open,6,0.5,Vendor-143,3,OFF-9742,1.1,0.0
TX-00281,61679.35,24,education,open,8,0.903512158319122,Vendor-162,2,OFF-9166,1.9,0.0
TX-00282,129160.8,36,education,open,3,0.5,Vendor-39,1,OFF-8296,10.2,0.0
TX-00283,13490.59,12,education,open,3,0.65,Vendor-19,2,OFF-3021,1.6,1.0
